checkpoint_id,checkpoint_kind,checkpoint_path,checkpoint_order,step,existing_before_0,generated_now_0,images_used_0,fid_0,is_mean_0,is_std_0,is_splits_0,precision_0,recall_0,density_0,coverage_0,real_reference_0,existing_before_1,generated_now_1,images_used_1,fid_1,is_mean_1,is_std_1,is_splits_1,precision_1,recall_1,density_1,coverage_1,real_reference_1,fid_mean,is_mean_avg,precision_mean,recall_mean,density_mean,coverage_mean
best_train,best_train_loss,/mnt/MammoDiffusion/MammoDiffusion/experiments/20260617_ldm_keras_v2_alex_long_training/checkpoints_ldm/ldm_unet_best.keras,0,,100,0,100,281.6253,2.1716,0.4158,10,0.0,0.0137,0.0,0.0,364,100,0,100,274.5606,2.1034,0.2798,10,0.01,0.0411,0.0033,0.0137,73,278.09295,2.1375,0.005,0.0274,0.00165,0.00685
step_7000,step,/mnt/MammoDiffusion/MammoDiffusion/experiments/20260617_ldm_keras_v2_alex_long_training/checkpoints_ldm/ldm_step007000.keras,1,7000.0,100,0,100,370.9015,1.8931,0.2527,10,0.0,0.0,0.0,0.0,364,100,0,100,363.5552,2.0382,0.2533,10,0.0,0.0,0.0,0.0,73,367.22835,1.96565,0.0,0.0,0.0,0.0
step_14000,step,/mnt/MammoDiffusion/MammoDiffusion/experiments/20260617_ldm_keras_v2_alex_long_training/checkpoints_ldm/ldm_step014000.keras,2,14000.0,100,0,100,340.8238,1.6469,0.1901,10,0.0,0.0,0.0,0.0,364,100,0,100,358.7449,1.4198,0.0768,10,0.0,0.0,0.0,0.0,73,349.78435,1.53335,0.0,0.0,0.0,0.0
step_21000,step,/mnt/MammoDiffusion/MammoDiffusion/experiments/20260617_ldm_keras_v2_alex_long_training/checkpoints_ldm/ldm_step021000.keras,3,21000.0,100,0,100,321.7606,1.6392,0.1379,10,0.0,0.0,0.0,0.0,364,100,0,100,313.8393,1.664,0.194,10,0.0,0.0,0.0,0.0,73,317.79995,1.6516,0.0,0.0,0.0,0.0
step_28000,step,/mnt/MammoDiffusion/MammoDiffusion/experiments/20260617_ldm_keras_v2_alex_long_training/checkpoints_ldm/ldm_step028000.keras,4,28000.0,100,0,100,278.9788,2.9093,0.4189,10,0.0,0.1154,0.0,0.0,364,100,0,100,235.9454,2.6044,0.3289,10,0.04,0.0,0.0133,0.0137,73,257.4621,2.75685,0.02,0.0577,0.00665,0.00685
step_35000,step,/mnt/MammoDiffusion/MammoDiffusion/experiments/20260617_ldm_keras_v2_alex_long_training/checkpoints_ldm/ldm_step035000.keras,5,35000.0,100,0,100,301.4554,2.3345,0.2653,10,0.0,0.0,0.0,0.0,364,100,0,100,295.416,2.1001,0.2443,10,0.0,0.0,0.0,0.0,73,298.4357,2.2173,0.0,0.0,0.0,0.0
step_42000,step,/mnt/MammoDiffusion/MammoDiffusion/experiments/20260617_ldm_keras_v2_alex_long_training/checkpoints_ldm/ldm_step042000.keras,6,42000.0,100,0,100,291.0776,1.8538,0.1578,10,0.0,0.0,0.0,0.0,364,100,0,100,283.5605,1.6737,0.0893,10,0.0,0.0,0.0,0.0,73,287.31905,1.76375,0.0,0.0,0.0,0.0
step_49000,step,/mnt/MammoDiffusion/MammoDiffusion/experiments/20260617_ldm_keras_v2_alex_long_training/checkpoints_ldm/ldm_step049000.keras,7,49000.0,100,0,100,303.4861,2.0128,0.2287,10,0.0,0.0,0.0,0.0,364,100,0,100,339.6774,2.0305,0.3954,10,0.02,0.0,0.0067,0.0137,73,321.58175,2.02165,0.01,0.0,0.00335,0.00685
step_56000,step,/mnt/MammoDiffusion/MammoDiffusion/experiments/20260617_ldm_keras_v2_alex_long_training/checkpoints_ldm/ldm_step056000.keras,8,56000.0,100,0,100,202.0814,2.5385,0.2311,10,0.06,0.1374,0.02,0.0055,364,100,0,100,222.0111,2.4406,0.2601,10,0.04,0.6164,0.0133,0.0137,73,212.04625,2.48955,0.05,0.3769,0.01665,0.0096
step_63000,step,/mnt/MammoDiffusion/MammoDiffusion/experiments/20260617_ldm_keras_v2_alex_long_training/checkpoints_ldm/ldm_step063000.keras,9,63000.0,100,0,100,241.1437,1.9618,0.2647,10,0.02,0.0,0.0067,0.0027,364,100,0,100,254.6588,1.9704,0.1115,10,0.16,0.1233,0.0533,0.0274,73,247.90125,1.9661,0.09,0.06165,0.03,0.01505
step_70000,step,/mnt/MammoDiffusion/MammoDiffusion/experiments/20260617_ldm_keras_v2_alex_long_training/checkpoints_ldm/ldm_step070000.keras,10,70000.0,100,0,100,238.1484,2.3218,0.3717,10,0.02,0.3242,0.0067,0.0027,364,100,0,100,205.8314,2.4068,0.3887,10,0.06,0.2192,0.0267,0.0685,73,221.9899,2.3643,0.04,0.2717,0.0167,0.0356
step_77000,step,/mnt/MammoDiffusion/MammoDiffusion/experiments/20260617_ldm_keras_v2_alex_long_training/checkpoints_ldm/ldm_step077000.keras,11,77000.0,100,0,100,339.6715,1.6424,0.185,10,0.02,0.0165,0.0067,0.0027,364,100,0,100,403.1292,1.4426,0.2121,10,0.02,0.8904,0.0067,0.0137,73,371.40035,1.5425,0.02,0.45345,0.0067,0.0082
step_80000,step,/mnt/MammoDiffusion/MammoDiffusion/experiments/20260617_ldm_keras_v2_alex_long_training/checkpoints_ldm/ldm_step080000.keras,12,80000.0,100,0,100,247.0872,2.0147,0.1968,10,0.08,0.0,0.0333,0.011,364,100,0,100,260.3584,2.0473,0.2685,10,0.12,0.0,0.0467,0.0274,73,253.7228,2.031,0.1,0.0,0.04,0.0192
