checkpoint_id,checkpoint_kind,checkpoint_path,checkpoint_order,step,existing_before_0,generated_now_0,images_used_0,fid_0,is_mean_0,is_std_0,is_splits_0,precision_0,recall_0,density_0,coverage_0,real_reference_0,existing_before_1,generated_now_1,images_used_1,fid_1,is_mean_1,is_std_1,is_splits_1,precision_1,recall_1,density_1,coverage_1,real_reference_1,fid_mean,is_mean_avg,precision_mean,recall_mean,density_mean,coverage_mean
best_train,best_train_loss,/Users/alexandro/Desktop/MammoDiffusion/experiments/20260619_ldm_extra1361/checkpoints_ldm/ldm_unet_best.keras,0,,100,0,100,281.5464,2.086,0.4035,10,0.0,0.011,0.0,0.0,364,100,0,100,274.5069,2.0856,0.2118,10,0.01,0.0411,0.0033,0.0137,73,278.02665,2.0858,0.005,0.026049999999999997,0.00165,0.00685
step_7000,step,/Users/alexandro/Desktop/MammoDiffusion/experiments/20260619_ldm_extra1361/checkpoints_ldm/ldm_step007000.keras,1,7000.0,100,0,100,370.8031,1.8375,0.2202,10,0.0,0.0,0.0,0.0,364,100,0,100,363.4579,1.998,0.2563,10,0.0,0.0,0.0,0.0,73,367.1305,1.9177499999999998,0.0,0.0,0.0,0.0
step_14000,step,/Users/alexandro/Desktop/MammoDiffusion/experiments/20260619_ldm_extra1361/checkpoints_ldm/ldm_step014000.keras,2,14000.0,100,0,100,340.7124,1.6106,0.1788,10,0.0,0.0,0.0,0.0,364,100,0,100,358.6313,1.4316,0.0727,10,0.0,0.0,0.0,0.0,73,349.67185,1.5211000000000001,0.0,0.0,0.0,0.0
step_21000,step,/Users/alexandro/Desktop/MammoDiffusion/experiments/20260619_ldm_extra1361/checkpoints_ldm/ldm_step021000.keras,3,21000.0,100,0,100,321.6797,1.6197,0.1624,10,0.0,0.0,0.0,0.0,364,100,0,100,313.8133,1.724,0.1262,10,0.0,0.0,0.0,0.0,73,317.7465,1.67185,0.0,0.0,0.0,0.0
step_28000,step,/Users/alexandro/Desktop/MammoDiffusion/experiments/20260619_ldm_extra1361/checkpoints_ldm/ldm_step028000.keras,4,28000.0,100,0,100,278.9343,2.902,0.3205,10,0.0,0.1209,0.0,0.0,364,100,0,100,235.9427,2.6694,0.3482,10,0.04,0.0,0.0133,0.0137,73,257.4385,2.7857000000000003,0.02,0.06045,0.00665,0.00685
step_35000,step,/Users/alexandro/Desktop/MammoDiffusion/experiments/20260619_ldm_extra1361/checkpoints_ldm/ldm_step035000.keras,5,35000.0,100,0,100,301.3398,2.2755,0.3394,10,0.0,0.0,0.0,0.0,364,100,0,100,295.339,2.1655,0.1842,10,0.0,0.0,0.0,0.0,73,298.3394,2.2205000000000004,0.0,0.0,0.0,0.0
step_42000,step,/Users/alexandro/Desktop/MammoDiffusion/experiments/20260619_ldm_extra1361/checkpoints_ldm/ldm_step042000.keras,6,42000.0,100,0,100,290.9638,1.8789,0.2748,10,0.0,0.0,0.0,0.0,364,100,0,100,283.4673,1.6933,0.1587,10,0.0,0.0,0.0,0.0,73,287.21555,1.7861,0.0,0.0,0.0,0.0
step_49000,step,/Users/alexandro/Desktop/MammoDiffusion/experiments/20260619_ldm_extra1361/checkpoints_ldm/ldm_step049000.keras,7,49000.0,100,0,100,303.3995,1.9848,0.1013,10,0.0,0.0,0.0,0.0,364,100,0,100,339.4883,2.1041,0.5132,10,0.02,0.0,0.0067,0.0137,73,321.4439,2.04445,0.01,0.0,0.00335,0.00685
step_56000,step,/Users/alexandro/Desktop/MammoDiffusion/experiments/20260619_ldm_extra1361/checkpoints_ldm/ldm_step056000.keras,8,56000.0,100,0,100,202.0576,2.6144,0.3268,10,0.06,0.1374,0.02,0.0055,364,100,0,100,221.9997,2.4043,0.3891,10,0.04,0.6164,0.0133,0.0137,73,212.02865,2.50935,0.05,0.37689999999999996,0.016649999999999998,0.009600000000000001
step_63000,step,/Users/alexandro/Desktop/MammoDiffusion/experiments/20260619_ldm_extra1361/checkpoints_ldm/ldm_step063000.keras,9,63000.0,100,0,100,241.0857,1.9309,0.191,10,0.02,0.0,0.0067,0.0027,364,100,0,100,254.6223,1.9475,0.1611,10,0.16,0.1233,0.0533,0.0274,73,247.85399999999998,1.9392,0.09,0.06165,0.03,0.015050000000000001
step_70000,step,/Users/alexandro/Desktop/MammoDiffusion/experiments/20260619_ldm_extra1361/checkpoints_ldm/ldm_step070000.keras,10,70000.0,100,0,100,238.1085,2.4117,0.3686,10,0.02,0.3242,0.0067,0.0027,364,100,0,100,205.7697,2.3594,0.4599,10,0.06,0.2192,0.0267,0.0685,73,221.9391,2.3855500000000003,0.04,0.2717,0.0167,0.0356
step_77000,step,/Users/alexandro/Desktop/MammoDiffusion/experiments/20260619_ldm_extra1361/checkpoints_ldm/ldm_step077000.keras,11,77000.0,100,0,100,339.4915,1.6588,0.1842,10,0.04,0.0137,0.0133,0.0055,364,100,0,100,402.9523,1.4244,0.316,10,0.02,0.8904,0.0067,0.0137,73,371.2219,1.5416,0.03,0.45205,0.01,0.009600000000000001
step_80000,step,/Users/alexandro/Desktop/MammoDiffusion/experiments/20260619_ldm_extra1361/checkpoints_ldm/ldm_step080000.keras,12,80000.0,100,0,100,247.0277,2.0817,0.2659,10,0.08,0.0,0.0333,0.011,364,100,0,100,260.3146,2.0879,0.251,10,0.12,0.0,0.0467,0.0274,73,253.67115,2.0848,0.1,0.0,0.04,0.019200000000000002
