checkpoint_id,checkpoint_kind,checkpoint_path,checkpoint_order,step,existing_before_0,generated_now_0,images_used_0,fid_0,is_mean_0,is_std_0,is_splits_0,precision_0,recall_0,density_0,coverage_0,real_reference_0,existing_before_1,generated_now_1,images_used_1,fid_1,is_mean_1,is_std_1,is_splits_1,precision_1,recall_1,density_1,coverage_1,real_reference_1,fid_mean,is_mean_avg,precision_mean,recall_mean,density_mean,coverage_mean
best_train,best_train_loss,/workspace/MammoDiffusion/experiments/diffusers/06_ldm_extra1361_fromscratch/checkpoints_ldm/ldm_unet_best.keras,0,,100,0,100,281.5977,2.1717,0.2727,10,0.0,0.0137,0.0,0.0,364,100,0,100,274.578,2.1103,0.3137,10,0.01,0.0411,0.0033,0.0137,73,278.08785,2.141,0.005,0.0274,0.00165,0.00685
step_7000,step,/workspace/MammoDiffusion/experiments/diffusers/06_ldm_extra1361_fromscratch/checkpoints_ldm/ldm_step007000.keras,1,7000.0,100,0,100,370.9102,1.8617,0.2346,10,0.0,0.0,0.0,0.0,364,100,0,100,363.5642,1.9033,0.2056,10,0.0,0.0,0.0,0.0,73,367.2372,1.8825,0.0,0.0,0.0,0.0
step_14000,step,/workspace/MammoDiffusion/experiments/diffusers/06_ldm_extra1361_fromscratch/checkpoints_ldm/ldm_step014000.keras,2,14000.0,100,0,100,340.8053,1.6014,0.1606,10,0.0,0.0,0.0,0.0,364,100,0,100,358.7334,1.4328,0.1141,10,0.0,0.0,0.0,0.0,73,349.76935,1.5171,0.0,0.0,0.0,0.0
step_21000,step,/workspace/MammoDiffusion/experiments/diffusers/06_ldm_extra1361_fromscratch/checkpoints_ldm/ldm_step021000.keras,3,21000.0,100,0,100,321.7341,1.6441,0.2664,10,0.0,0.0,0.0,0.0,364,100,0,100,313.9311,1.6751,0.1984,10,0.0,0.0,0.0,0.0,73,317.8326,1.6596,0.0,0.0,0.0,0.0
step_28000,step,/workspace/MammoDiffusion/experiments/diffusers/06_ldm_extra1361_fromscratch/checkpoints_ldm/ldm_step028000.keras,4,28000.0,100,0,100,279.0076,2.9135,0.3097,10,0.0,0.1209,0.0,0.0,364,100,0,100,235.9726,2.6641,0.1942,10,0.04,0.0,0.0133,0.0137,73,257.4901,2.7888,0.02,0.06045,0.00665,0.00685
step_35000,step,/workspace/MammoDiffusion/experiments/diffusers/06_ldm_extra1361_fromscratch/checkpoints_ldm/ldm_step035000.keras,5,35000.0,100,0,100,301.4538,2.2638,0.237,10,0.0,0.0,0.0,0.0,364,100,0,100,295.4166,2.1304,0.2867,10,0.0,0.0,0.0,0.0,73,298.4352,2.1971,0.0,0.0,0.0,0.0
step_42000,step,/workspace/MammoDiffusion/experiments/diffusers/06_ldm_extra1361_fromscratch/checkpoints_ldm/ldm_step042000.keras,6,42000.0,100,0,100,291.089,1.9069,0.2673,10,0.0,0.0,0.0,0.0,364,100,0,100,283.5833,1.6893,0.1292,10,0.0,0.0,0.0,0.0,73,287.33615,1.7981,0.0,0.0,0.0,0.0
step_49000,step,/workspace/MammoDiffusion/experiments/diffusers/06_ldm_extra1361_fromscratch/checkpoints_ldm/ldm_step049000.keras,7,49000.0,100,0,100,303.4811,1.947,0.1898,10,0.0,0.0,0.0,0.0,364,100,0,100,339.583,2.0881,0.4974,10,0.02,0.0,0.0067,0.0137,73,321.53205,2.01755,0.01,0.0,0.00335,0.00685
step_56000,step,/workspace/MammoDiffusion/experiments/diffusers/06_ldm_extra1361_fromscratch/checkpoints_ldm/ldm_step056000.keras,8,56000.0,100,0,100,202.0837,2.6568,0.4052,10,0.06,0.1374,0.02,0.0055,364,100,0,100,222.0376,2.3943,0.2959,10,0.04,0.6164,0.0133,0.0137,73,212.06065,2.52555,0.05,0.3769,0.01665,0.0096
step_63000,step,/workspace/MammoDiffusion/experiments/diffusers/06_ldm_extra1361_fromscratch/checkpoints_ldm/ldm_step063000.keras,9,63000.0,100,0,100,241.1542,1.8956,0.2832,10,0.02,0.0,0.0067,0.0027,364,100,0,100,254.689,1.9689,0.2527,10,0.16,0.137,0.0533,0.0274,73,247.9216,1.93225,0.09,0.0685,0.03,0.01505
step_70000,step,/workspace/MammoDiffusion/experiments/diffusers/06_ldm_extra1361_fromscratch/checkpoints_ldm/ldm_step070000.keras,10,70000.0,100,0,100,238.1645,2.4074,0.3556,10,0.02,0.3242,0.0067,0.0027,364,100,0,100,205.8238,2.3308,0.2148,10,0.06,0.2192,0.0267,0.0685,73,221.99415,2.3691,0.04,0.2717,0.0167,0.0356
step_77000,step,/workspace/MammoDiffusion/experiments/diffusers/06_ldm_extra1361_fromscratch/checkpoints_ldm/ldm_step077000.keras,11,77000.0,100,0,100,339.5922,1.6565,0.1678,10,0.04,0.0137,0.0133,0.0055,364,100,0,100,403.0982,1.4552,0.1979,10,0.02,0.8904,0.0067,0.0137,73,371.3452,1.55585,0.03,0.45205,0.01,0.0096
step_80000,step,/workspace/MammoDiffusion/experiments/diffusers/06_ldm_extra1361_fromscratch/checkpoints_ldm/ldm_step080000.keras,12,80000.0,100,0,100,247.0804,2.0572,0.2891,10,0.07,0.0,0.03,0.011,364,100,0,100,260.3783,2.0742,0.1373,10,0.12,0.0,0.0467,0.0274,73,253.72935,2.0657,0.095,0.0,0.03835,0.0192
