epoch,loss,auc,pr_auc,val_loss,val_auc,val_pr_auc,learning_rate,optimizer_steps
1,0.055004092699792374,0.5744733421204009,0.2007185066640937,0.05223876513216807,0.6775553213909378,0.3002139701353855,5e-05,250
2,0.05120315135874352,0.6999261627121697,0.32205559347380514,0.05006263658267955,0.7186512118018966,0.3704265911734336,5e-05,500
3,0.04779051019323371,0.7599662685668858,0.41629782749213096,0.05033571528829208,0.7184254102062322,0.3779225892397139,5e-05,750
4,0.044023488302342643,0.8032054222063046,0.49264050295547035,0.050529896854945126,0.7192909829896131,0.3649439485367323,5e-05,1000
5,0.0390545448935326,0.8636566391730937,0.6139817324725151,0.05665697773718179,0.6889583019720006,0.32669307868597786,5e-05,1250
6,0.03199890125967374,0.9143485234558273,0.7386581151647059,0.07173768383209983,0.6250940839981936,0.31900440307130673,5e-05,1500
7,0.025216388360324537,0.950739531353165,0.832651778396103,0.111245947721621,0.6136158362185761,0.282599022750078,5e-05,1750
8,0.01833766801112499,0.9774332492997957,0.9188355880765278,0.09746326684303906,0.6186963721210296,0.2978955686563476,2.5e-05,2000
9,0.01678318333700803,0.9809244875198626,0.9315246403686905,0.10450701845183252,0.6177555321390936,0.28352563218740967,2.5e-05,2250
10,0.01576667966170322,0.9810699692733083,0.9319014554103843,0.13033299491627812,0.6004817100707511,0.28944628918729365,2.5e-05,2500
11,0.012863123235837345,0.9893390775478,0.9600200090812444,0.14482286577571174,0.5987505645039891,0.28626251004238995,2.5e-05,2750
12,0.011115252915380307,0.9922007113592364,0.969978845407835,0.13755930282891615,0.6127126298359176,0.30104398128925425,1.25e-05,3000
13,0.010273262933960184,0.9936081062007116,0.9764620911906106,0.14539096562417747,0.6129384314315821,0.2970355851797666,1.25e-05,3250
