epoch,loss,auc,pr_auc,val_loss,val_auc,val_pr_auc,learning_rate,optimizer_steps
1,0.05856188014196267,0.7906068150268628,0.8039213499788486,0.07292986471947598,0.6966355562245973,0.341176527689381,0.0001,250
2,0.03213890448020627,0.946580172410295,0.9466572965703802,0.08656910066951058,0.7242209844949572,0.3710931033566892,0.0001,500
3,0.014254617505299787,0.9905168840908641,0.9901876063465039,0.1454817814586228,0.7026569321089869,0.3832182003163385,0.0001,750
4,0.006987497027265723,0.9977029195568899,0.9973402078837518,0.15279529197248087,0.6900873099503236,0.4248178699483369,0.0001,1000
5,0.00317131828789121,0.9995094223264654,0.9994355380063595,0.18270967338189964,0.686399217221135,0.38376057043575157,0.0001,1250
6,0.003970044975505308,0.9991831072202519,0.9989193771067889,0.19647900470760513,0.6741306638566912,0.3660109421525998,0.0001,1500
7,0.002557674040755527,0.9996869152719701,0.9996288833815318,0.23097274717425947,0.6922324251091375,0.40038742210384437,0.0001,1750
8,0.0014607559630888211,0.999907243661777,0.999886795673792,0.19533172990163486,0.6815256661147071,0.3233738288859958,0.0001,2000
9,0.0006521450249085546,0.9999809796832584,0.9999761282299249,0.25561332112155294,0.6864744844196898,0.36494263220814965,5e-05,2250
10,3.9819147556270025e-05,1.0,1.0,0.28671564746238354,0.6881679963871745,0.39194488489828283,5e-05,2500
11,1.445991635290157e-05,1.0,1.0,0.29685224882202216,0.6824853228962817,0.3817884552583673,5e-05,2750
12,6.9515467628256185e-06,1.0,1.0,0.2969603321902764,0.6873400572030709,0.3910709778010999,5e-05,3000
13,6.870271156726121e-06,1.0,1.0,0.2955757349071072,0.6887701339756134,0.3994313499238758,2.5e-05,3250
14,0.0001254046640646189,0.9999992384781748,0.9999990386217682,0.31220768819995587,0.6871895228059611,0.3766823187088629,2.5e-05,3500
