epoch,loss,auc,pr_auc,val_loss,val_auc,val_pr_auc,learning_rate,optimizer_steps
1,0.041158496547242254,0.8916390421263791,0.9245126052001564,0.05302418598764548,0.6681092879723017,0.3068063146686364,0.0001,250
2,0.0298997070695378,0.9473854721847139,0.9614308131114031,0.04794818191902043,0.7649781725124191,0.48696159947294754,0.0001,500
3,0.02207593788558633,0.9743631215319988,0.9804114848265365,0.06363507120676117,0.7546289327111245,0.5161967693463896,0.0001,750
4,0.01574947977053734,0.9881272359304543,0.990474628918192,0.07520394075823866,0.7231672437151889,0.4364450795470222,0.0001,1000
5,0.008214772865970653,0.9967880821272028,0.9972262366963665,0.13560715498769277,0.726290832455216,0.4677548358085084,0.0001,1250
6,0.005474361044028756,0.998361960882648,0.998730110506625,0.12788800959575503,0.7484193888303479,0.47081770649552684,0.0001,1500
7,0.0027951901594429765,0.9996416582221885,0.9996537181519717,0.17723736184989092,0.7196673189823874,0.4094970839289075,0.0001,1750
8,0.0009332212594774773,0.9999605064502369,0.9999610889510593,0.14539467840955234,0.7617040493752822,0.4703507417972781,5e-05,2000
9,0.0002915068854266127,0.9999954863778884,0.9999954863778883,0.22386985078895869,0.7422474785488484,0.47816107848189066,5e-05,2250
10,4.146346753839071e-05,1.0,1.0,0.2170851007457728,0.750263435194942,0.49749724873848483,5e-05,2500
11,8.993510348182463e-06,1.0,1.0,0.22163150164107856,0.7543654975161824,0.49629179713748117,5e-05,2750
12,9.264792697390657e-06,1.0,1.0,0.21912908619690635,0.7528977871443625,0.49725329839523374,2.5e-05,3000
13,7.14859690255306e-06,1.0,1.0,0.2167077752677686,0.7561719102814993,0.5022211697608346,2.5e-05,3250
