epoch,loss,auc,pr_auc,val_loss,val_auc,val_pr_auc,learning_rate,optimizer_steps
1,0.05515288755217427,0.5779252102781514,0.2057625067520932,0.05241507164775916,0.6723242510913744,0.27264341548354953,5e-05,250
2,0.050672683940867776,0.7029904337797084,0.3372525389979999,0.05074115312344968,0.7085277735962667,0.33339807427040513,5e-05,500
3,0.047486954703348606,0.7601166790468079,0.4054485851746299,0.05109169837982486,0.7184254102062321,0.33269510518063156,5e-05,750
4,0.0443737091524109,0.8027000320163692,0.49377390834962254,0.05241713140083123,0.7019795273219931,0.32279464362862187,5e-05,1000
5,0.03871868913113929,0.8636700283643239,0.6201144524413955,0.0612476557680753,0.6785714285714285,0.30430337474100677,5e-05,1250
6,0.03102121571479601,0.9221352660497397,0.7497665863378289,0.07482182372625687,0.6739048622610266,0.33012407857043785,5e-05,1500
7,0.023848170390776635,0.9575052286937573,0.8591344886429847,0.07668920474242018,0.663555622459732,0.327991650523767,2.5e-05,1750
8,0.020223008259473617,0.9714129120869178,0.8955531422398447,0.08738311253982496,0.657233177781123,0.34959868686860285,2.5e-05,2000
9,0.018605262718067568,0.9744234766777597,0.9138027818689052,0.10513879615361685,0.6265617943700136,0.32949420156530324,2.5e-05,2250
10,0.01611462857941809,0.9817154930167229,0.9359583797630091,0.10822288525766038,0.6316423302724672,0.3174346365842523,2.5e-05,2500
11,0.01542440091209398,0.9823127906987239,0.9365277541265075,0.13127431117884764,0.6215941592653921,0.2845242192562529,2.5e-05,2750
12,0.012524370851546559,0.9896057683725786,0.9636832848963255,0.11535775230119102,0.6416152340809874,0.33324060002039513,2.5e-05,3000
13,0.012412052581079991,0.988671153932736,0.9610192658181907,0.1318802381492725,0.6210672888755079,0.2996716067434124,1.25e-05,3250
14,0.011426055910951612,0.9907439545410698,0.9672408722095988,0.12446282277186348,0.6183200361282553,0.3090196348200703,1.25e-05,3500
15,0.010537314292212779,0.9932240225546223,0.9746158628715722,0.14052805788729775,0.6246048472075869,0.31278951524946136,1.25e-05,3750
16,0.009427089479625585,0.9947999417314798,0.9799288027398823,0.14564712485405074,0.6235134728285413,0.3098293427820766,1.25e-05,4000
17,0.008751140379878924,0.9958139836872723,0.9828231893145944,0.15636029818843308,0.6155727833810025,0.30145647223511285,6.25e-06,4250
18,0.009444995511998091,0.9941252082301562,0.9768284803610343,0.15623357816806033,0.6206909528827336,0.31410240678450285,6.25e-06,4500
