Configurazione,Metrica,ResNet-50 (224x224),MaxViT-512 (512x512),Delta (MaxViT - ResNet),MaxViT vince
Baseline,AUC,0.5494,0.6124,0.063,True
Baseline,ACCURACY,0.532,0.5068,-0.0252,False
Baseline,PRECISION,0.1857,0.2033,0.0176,True
Baseline,RECALL,0.5342,0.6712,0.137,True
Baseline,F1,0.2756,0.3121,0.0365,True
Real+Synth,AUC,0.612,0.621,0.009,True
Real+Synth,ACCURACY,0.5274,0.6758,0.1484,True
Real+Synth,PRECISION,0.2035,0.2553,0.0518,True
Real+Synth,RECALL,0.6301,0.4932,-0.1369,False
Real+Synth,F1,0.3077,0.3364,0.0287,True
Full_Synth,AUC,0.556,0.5938,0.0378,True
Full_Synth,ACCURACY,0.3744,0.5822,0.2078,True
Full_Synth,PRECISION,0.183,0.2222,0.0392,True
Full_Synth,RECALL,0.7945,0.6027,-0.1918,False
Full_Synth,F1,0.2974,0.3247,0.0273,True
