class,source_path,source_name,adaptive_threshold,background_median,background_mad,raw_nonblack_ratio,largest_component_frac,nonblack_ratio,mean_nonblack,std_nonblack,entropy,lap_var,top_border,bottom_border,rejected,reject_reason,selection_score,selected,selection_rank
positive,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/03_sd21_vae_finetuned/generated_images/final/positive/eval_pos_0000.png,eval_pos_0000.png,112.8956,99.0,1.0,0.4432563781738281,0.9570556899059356,0.449981689453125,147.12577144794847,31.447267305982063,6.0788109710365,155.1209259033203,0.0,0.0,False,,-28.97789641610639,False,
positive,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/03_sd21_vae_finetuned/generated_images/final/positive/eval_pos_0001.png,eval_pos_0001.png,103.8956,90.0,1.0,0.5418243408203125,0.9994226815736855,0.5364608764648438,151.509528550096,23.09351503847817,5.466685078657254,31.453086853027344,0.0,0.0,False,,-7.307104910120902,True,617.0
positive,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/03_sd21_vae_finetuned/generated_images/final/positive/eval_pos_0002.png,eval_pos_0002.png,74.7912,52.0,2.0,0.8468170166015625,0.9991215741391427,0.8444290161132812,130.41079318040133,34.686133513798396,7.0967679105416215,431.09039306640625,0.0,0.0,False,,-8.867261492899754,False,
positive,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/03_sd21_vae_finetuned/generated_images/final/positive/eval_pos_0003.png,eval_pos_0003.png,126.8956,113.0,1.0,0.2720222473144531,0.9831718296428221,0.2750205993652344,158.43792218600458,28.843645100636927,5.02174133081947,52.862464904785156,0.0,0.0,False,,-14.631549414412405,False,
positive,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/03_sd21_vae_finetuned/generated_images/final/positive/eval_pos_0004.png,eval_pos_0004.png,131.8956,118.0,1.0,0.20901107788085938,0.9575842747896552,0.19502639770507812,167.216293398533,27.54669180483729,5.114017719326926,215.9494171142578,0.0,0.0,False,,-29.627910269901914,False,
positive,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/03_sd21_vae_finetuned/generated_images/final/positive/eval_pos_0005.png,eval_pos_0005.png,220.0,208.0,33.0,0.3646736145019531,0.9711392616923126,0.3468589782714844,241.5104204471719,10.541335496574483,6.348014086343159,355.5838317871094,0.0,0.0,False,,-25.59245153187146,False,
positive,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/03_sd21_vae_finetuned/generated_images/final/positive/eval_pos_0006.png,eval_pos_0006.png,96.8956,83.0,1.0,0.31969451904296875,0.9794286805240675,0.3656654357910156,139.69486839771744,42.140740334619785,5.604055352908695,206.1256103515625,0.0,0.0,False,,-15.227462665377884,False,
positive,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/03_sd21_vae_finetuned/generated_images/final/positive/eval_pos_0007.png,eval_pos_0007.png,144.8956,131.0,1.0,0.305389404296875,0.9670480663535526,0.30236053466796875,171.3968358103505,21.52857573418421,4.692373929736948,146.52346801757812,0.0,0.0,False,,-23.87225269454487,False,
positive,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/03_sd21_vae_finetuned/generated_images/final/positive/eval_pos_0008.png,eval_pos_0008.png,139.8956,126.0,1.0,0.15079879760742188,0.9895272064961675,0.145355224609375,178.60466092798657,26.98146375221191,3.6986368362582023,17.943817138671875,0.0,0.0,False,,-11.754233557006902,False,
positive,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/03_sd21_vae_finetuned/generated_images/final/positive/eval_pos_0009.png,eval_pos_0009.png,86.8956,73.0,1.0,0.43045806884765625,0.9973325534818596,0.4234771728515625,165.31469570857206,24.399891236117252,5.443967543422744,171.1761016845703,0.0,0.0,False,,-6.844087719647879,True,405.0
