class,source_path,source_name,adaptive_threshold,background_median,background_mad,raw_nonblack_ratio,largest_component_frac,nonblack_ratio,mean_nonblack,std_nonblack,entropy,lap_var,top_border,bottom_border,rejected,reject_reason,selection_score,selected,selection_rank
negative,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/04_sd21_lora/generated_images/final/negative/eval_neg_0000.png,eval_neg_0000.png,68.5824,28.0,4.0,0.4427337646484375,0.9962347061864553,0.4550056457519531,138.55065100564232,49.44076308474974,6.948549638109603,1805.6419677734375,0.0,0.0,False,,-7.063727927881311,True,153.0
negative,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/04_sd21_lora/generated_images/final/negative/eval_neg_0001.png,eval_neg_0001.png,10.0,3.0,0.0,0.8064155578613281,0.9972421557543389,0.7991104125976562,117.17013394945627,54.440860205700396,7.14585174638399,1349.5848388671875,0.0,0.0,False,,-8.459582912730069,True,346.0
negative,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/04_sd21_lora/generated_images/final/negative/eval_neg_0002.png,eval_neg_0002.png,53.8956,40.0,1.0,0.7244873046875,0.9638426705981465,0.7099723815917969,119.68668296483357,53.28618299971827,6.989629973824183,829.7565307617188,0.0,0.0,False,,-19.690627986253364,True,996.0
negative,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/04_sd21_lora/generated_images/final/negative/eval_neg_0003.png,eval_neg_0003.png,52.5824,12.0,4.0,0.44098663330078125,0.9958651234407709,0.4431190490722656,139.5764327097735,50.471797166611694,6.950417194608129,1586.9417724609375,0.0,0.0,False,,-6.908409080650792,True,136.0
negative,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/04_sd21_lora/generated_images/final/negative/eval_neg_0004.png,eval_neg_0004.png,192.8956,179.0,1.0,0.05435943603515625,0.628,0.0371551513671875,209.5729979466119,14.690877396942213,6.980712123361943,1045.8289794921875,0.0,0.0,True,too_empty,,False,
negative,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/04_sd21_lora/generated_images/final/negative/eval_neg_0005.png,eval_neg_0005.png,81.0,76.0,0.0,0.3591423034667969,0.9704929525104358,0.3580513000488281,139.35124279519715,43.3022358092553,4.781398571086663,541.1820068359375,0.0,0.0,False,,-13.125423834049958,True,744.0
negative,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/04_sd21_lora/generated_images/final/negative/eval_neg_0006.png,eval_neg_0006.png,155.5824,115.0,4.0,0.05716705322265625,0.9040437741892433,0.048274993896484375,182.30478071908337,20.17563626646595,5.228375026944166,989.7858276367188,0.0,0.0,True,too_empty,,False,
negative,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/04_sd21_lora/generated_images/final/negative/eval_neg_0007.png,eval_neg_0007.png,85.47800000000001,36.0,5.0,0.6145706176757812,0.9978151030998225,0.6166877746582031,149.3653942509325,37.852255757328,7.3006243975446665,1177.0323486328125,0.0,0.0,False,,-6.73165757824015,True,122.0
negative,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/04_sd21_lora/generated_images/final/negative/eval_neg_0008.png,eval_neg_0008.png,71.5824,31.0,4.0,0.32061767578125,0.9576551494384161,0.375579833984375,131.6518851060372,64.11802189081342,6.888046745435956,1929.8028564453125,0.0,0.0,False,,-22.08789445581617,True,1080.0
negative,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/04_sd21_lora/generated_images/final/negative/eval_neg_0009.png,eval_neg_0009.png,101.5824,61.0,4.0,0.2765960693359375,0.8972113421967232,0.23803329467773438,154.4822192663344,47.484885388198954,6.639850350376332,1341.4476318359375,0.0,0.0,False,,-44.46681908825625,False,
