checkpoint_id,checkpoint_kind,checkpoint_path,checkpoint_order,step,existing_before_0,generated_now_0,images_used_0,fid_0,is_mean_0,is_std_0,is_splits_0,precision_0,recall_0,density_0,coverage_0,real_reference_0,existing_before_1,generated_now_1,images_used_1,fid_1,is_mean_1,is_std_1,is_splits_1,precision_1,recall_1,density_1,coverage_1,real_reference_1,fid_mean,is_mean_avg,precision_mean,recall_mean,density_mean,coverage_mean
step_5000,step,/home/fede/Documenti/MammoDiffusion/experiments/20260703_ldm_sdvae_extra1361/checkpoints_ldm/ldm_step005000.keras,0,5000,100,0,100,285.2578,1.936,0.1317,10,0.0,0.0,0.0,0.0,364,100,0,100,297.4987,1.9674,0.2143,10,0.0,0.0,0.0,0.0,73,291.37825,1.9517,0.0,0.0,0.0,0.0
step_10000,step,/home/fede/Documenti/MammoDiffusion/experiments/20260703_ldm_sdvae_extra1361/checkpoints_ldm/ldm_step010000.keras,1,10000,100,0,100,295.6557,1.5791,0.1201,10,0.0,0.0357,0.0,0.0,364,100,0,100,306.3369,1.4344,0.1133,10,0.0,0.0274,0.0,0.0,73,300.9963,1.50675,0.0,0.03155,0.0,0.0
step_15000,step,/home/fede/Documenti/MammoDiffusion/experiments/20260703_ldm_sdvae_extra1361/checkpoints_ldm/ldm_step015000.keras,2,15000,100,0,100,216.2879,2.0926,0.2777,10,0.0,0.1044,0.0,0.0,364,100,0,100,222.1841,2.1138,0.1756,10,0.01,0.0274,0.0033,0.0137,73,219.236,2.1032,0.005,0.0659,0.00165,0.00685
step_20000,step,/home/fede/Documenti/MammoDiffusion/experiments/20260703_ldm_sdvae_extra1361/checkpoints_ldm/ldm_step020000.keras,3,20000,100,0,100,139.4855,2.3506,0.3387,10,0.04,0.2253,0.0267,0.022,364,100,0,100,171.8183,2.2438,0.3403,10,0.18,0.2329,0.06,0.0548,73,155.6519,2.2972,0.11,0.2291,0.04335,0.0384
step_25000,step,/home/fede/Documenti/MammoDiffusion/experiments/20260703_ldm_sdvae_extra1361/checkpoints_ldm/ldm_step025000.keras,4,25000,100,0,100,186.8205,2.0145,0.1545,10,0.01,0.5027,0.0033,0.0027,364,100,0,100,231.9749,1.8552,0.2153,10,0.02,0.3288,0.0067,0.0274,73,209.3977,1.93485,0.015,0.41575,0.005,0.01505
step_30000,step,/home/fede/Documenti/MammoDiffusion/experiments/20260703_ldm_sdvae_extra1361/checkpoints_ldm/ldm_step030000.keras,5,30000,100,0,100,161.7463,2.5476,0.2666,10,0.12,0.6126,0.08,0.0495,364,100,0,100,205.6568,2.4734,0.2392,10,0.15,0.3288,0.0567,0.0411,73,183.70155,2.5105,0.135,0.4707,0.06835,0.0453
step_35000,step,/home/fede/Documenti/MammoDiffusion/experiments/20260703_ldm_sdvae_extra1361/checkpoints_ldm/ldm_step035000.keras,6,35000,100,0,100,134.2135,2.1362,0.282,10,0.13,0.5165,0.0433,0.0247,364,100,0,100,168.0515,1.981,0.1627,10,0.09,0.3151,0.03,0.0274,73,151.1325,2.0586,0.11,0.4158,0.03665,0.02605
step_40000,step,/home/fede/Documenti/MammoDiffusion/experiments/20260703_ldm_sdvae_extra1361/checkpoints_ldm/ldm_step040000.keras,7,40000,100,0,100,147.218,2.5592,0.2115,10,0.13,0.3874,0.0667,0.0467,364,100,0,100,209.4611,2.1863,0.2,10,0.19,0.3288,0.07,0.0822,73,178.33955,2.37275,0.16,0.3581,0.06835,0.06445
step_45000,step,/home/fede/Documenti/MammoDiffusion/experiments/20260703_ldm_sdvae_extra1361/checkpoints_ldm/ldm_step045000.keras,8,45000,100,0,100,158.2136,2.5035,0.2541,10,0.22,0.4423,0.0767,0.0302,364,100,0,100,198.1621,2.4511,0.3507,10,0.19,0.4247,0.08,0.0959,73,178.18785,2.4773,0.205,0.4335,0.07835,0.06305
step_50000,step,/home/fede/Documenti/MammoDiffusion/experiments/20260703_ldm_sdvae_extra1361/checkpoints_ldm/ldm_step050000.keras,9,50000,100,0,100,130.667,2.2759,0.1327,10,0.09,0.4231,0.0433,0.0302,364,100,0,100,162.7647,2.2899,0.2036,10,0.27,0.3562,0.1067,0.1096,73,146.71585,2.2829,0.18,0.38965,0.075,0.0699
step_55000,step,/home/fede/Documenti/MammoDiffusion/experiments/20260703_ldm_sdvae_extra1361/checkpoints_ldm/ldm_step055000.keras,10,55000,100,0,100,144.9084,2.4249,0.2356,10,0.17,0.4753,0.1033,0.0687,364,100,0,100,195.1704,2.3866,0.2592,10,0.19,0.5068,0.0733,0.1233,73,170.0394,2.40575,0.18,0.49105,0.0883,0.096
step_60000,step,/home/fede/Documenti/MammoDiffusion/experiments/20260703_ldm_sdvae_extra1361/checkpoints_ldm/ldm_step060000.keras,11,60000,100,0,100,141.252,2.3344,0.2315,10,0.09,0.3571,0.0367,0.0247,364,100,0,100,153.2876,2.3711,0.2922,10,0.19,0.2055,0.0733,0.0959,73,147.2698,2.35275,0.14,0.2813,0.055,0.0603
step_65000,step,/home/fede/Documenti/MammoDiffusion/experiments/20260703_ldm_sdvae_extra1361/checkpoints_ldm/ldm_step065000.keras,12,65000,100,0,100,145.4454,2.4892,0.2502,10,0.07,0.4918,0.0267,0.022,364,100,0,100,164.7123,2.4761,0.3488,10,0.16,0.3288,0.0533,0.0548,73,155.07885,2.48265,0.115,0.4103,0.04,0.0384
step_70000,step,/home/fede/Documenti/MammoDiffusion/experiments/20260703_ldm_sdvae_extra1361/checkpoints_ldm/ldm_step070000.keras,13,70000,100,0,100,142.9725,2.3177,0.2666,10,0.17,0.3654,0.0933,0.0687,364,100,0,100,159.3197,2.3707,0.3099,10,0.25,0.5616,0.13,0.1918,73,151.1461,2.3442,0.21,0.4635,0.11165,0.13025
step_75000,step,/home/fede/Documenti/MammoDiffusion/experiments/20260703_ldm_sdvae_extra1361/checkpoints_ldm/ldm_step075000.keras,14,75000,100,0,100,153.0624,2.294,0.3508,10,0.23,0.456,0.0967,0.0577,364,100,0,100,179.4296,2.3061,0.2159,10,0.32,0.4247,0.13,0.0959,73,166.246,2.30005,0.275,0.44035,0.11335,0.0768
step_80000,step,/home/fede/Documenti/MammoDiffusion/experiments/20260703_ldm_sdvae_extra1361/checkpoints_ldm/ldm_step080000.keras,15,80000,100,0,100,183.918,2.2166,0.3601,10,0.05,0.3819,0.02,0.0165,364,100,0,100,202.0237,2.1081,0.2351,10,0.09,0.3562,0.0367,0.0548,73,192.97085,2.16235,0.07,0.36905,0.02835,0.03565
step_85000,step,/home/fede/Documenti/MammoDiffusion/experiments/20260703_ldm_sdvae_extra1361/checkpoints_ldm/ldm_step085000.keras,16,85000,100,0,100,149.2521,2.4915,0.3356,10,0.15,0.2143,0.0633,0.0467,364,100,0,100,179.442,2.561,0.4598,10,0.36,0.2877,0.14,0.1507,73,164.34705,2.52625,0.255,0.251,0.10165,0.0987
step_90000,step,/home/fede/Documenti/MammoDiffusion/experiments/20260703_ldm_sdvae_extra1361/checkpoints_ldm/ldm_step090000.keras,17,90000,100,0,100,173.7975,2.3733,0.3039,10,0.09,0.4945,0.0567,0.0385,364,100,0,100,204.1936,2.2427,0.1587,10,0.23,0.2466,0.0867,0.0959,73,188.99555,2.308,0.16,0.37055,0.0717,0.0672
step_95000,step,/home/fede/Documenti/MammoDiffusion/experiments/20260703_ldm_sdvae_extra1361/checkpoints_ldm/ldm_step095000.keras,18,95000,100,0,100,144.1489,2.4331,0.3369,10,0.13,0.4038,0.0533,0.0357,364,100,0,100,158.4695,2.2961,0.2667,10,0.25,0.3699,0.0933,0.0959,73,151.3092,2.3646,0.19,0.38685,0.0733,0.0658
step_100000,step,/home/fede/Documenti/MammoDiffusion/experiments/20260703_ldm_sdvae_extra1361/checkpoints_ldm/ldm_step100000.keras,19,100000,100,0,100,148.6448,2.5594,0.2622,10,0.17,0.3132,0.08,0.0549,364,100,0,100,180.7364,2.3264,0.341,10,0.31,0.4384,0.1167,0.1507,73,164.6906,2.4429,0.24,0.3758,0.09835,0.1028
step_105000,step,/home/fede/Documenti/MammoDiffusion/experiments/20260703_ldm_sdvae_extra1361/checkpoints_ldm/ldm_step105000.keras,20,105000,100,0,100,154.2157,2.5961,0.3716,10,0.09,0.3077,0.04,0.0302,364,100,0,100,165.8568,2.3649,0.2956,10,0.21,0.274,0.0733,0.0822,73,160.03625,2.4805,0.15,0.29085,0.05665,0.0562
step_110000,step,/home/fede/Documenti/MammoDiffusion/experiments/20260703_ldm_sdvae_extra1361/checkpoints_ldm/ldm_step110000.keras,21,110000,100,0,100,142.3546,2.4711,0.425,10,0.08,0.3242,0.04,0.033,364,100,0,100,159.3611,2.2765,0.2808,10,0.22,0.3288,0.11,0.2192,73,150.85785,2.3738,0.15,0.3265,0.075,0.1261
step_115000,step,/home/fede/Documenti/MammoDiffusion/experiments/20260703_ldm_sdvae_extra1361/checkpoints_ldm/ldm_step115000.keras,22,115000,100,0,100,149.6163,2.3823,0.3064,10,0.07,0.3544,0.04,0.0302,364,100,0,100,173.124,2.3793,0.3632,10,0.22,0.2466,0.09,0.137,73,161.37015,2.3808,0.145,0.3005,0.065,0.0836
step_120000,step,/home/fede/Documenti/MammoDiffusion/experiments/20260703_ldm_sdvae_extra1361/checkpoints_ldm/ldm_step120000.keras,23,120000,100,0,100,154.2165,2.4563,0.2358,10,0.12,0.2198,0.05,0.033,364,100,0,100,175.9366,2.3311,0.1706,10,0.24,0.1781,0.1033,0.1233,73,165.07655,2.3937,0.18,0.19895,0.07665,0.07815
step_125000,step,/home/fede/Documenti/MammoDiffusion/experiments/20260703_ldm_sdvae_extra1361/checkpoints_ldm/ldm_step125000.keras,24,125000,100,0,100,152.6526,2.3654,0.2244,10,0.14,0.5687,0.07,0.0412,364,100,0,100,182.4359,2.4686,0.3045,10,0.22,0.3836,0.08,0.0548,73,167.54425,2.417,0.18,0.47615,0.075,0.048
