checkpoint_id,checkpoint_kind,checkpoint_path,checkpoint_order,step,existing_before_0,generated_now_0,images_used_0,fid_0,is_mean_0,is_std_0,is_splits_0,precision_0,recall_0,density_0,coverage_0,real_reference_0,existing_before_1,generated_now_1,images_used_1,fid_1,is_mean_1,is_std_1,is_splits_1,precision_1,recall_1,density_1,coverage_1,real_reference_1,fid_mean,is_mean_avg,precision_mean,recall_mean,density_mean,coverage_mean
step_5000,step,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/08_ldm_v3_sdvae_fromscratch/checkpoints_ldm/ldm_step005000.keras,0,5000,100,0,100,169.3782,1.7216,0.2284,10,0.15,0.1923,0.05,0.0247,364,100,0,100,153.354,1.8191,0.1299,10,0.26,0.0,0.12,0.1507,73,161.3661,1.77035,0.205,0.09615,0.085,0.0877
step_10000,step,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/08_ldm_v3_sdvae_fromscratch/checkpoints_ldm/ldm_step010000.keras,1,10000,100,0,100,127.247,1.8241,0.1803,10,0.1,0.0522,0.0367,0.0247,364,100,0,100,137.2092,1.7839,0.2083,10,0.25,0.0411,0.0933,0.1233,73,132.2281,1.804,0.175,0.04665,0.065,0.074
step_15000,step,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/08_ldm_v3_sdvae_fromscratch/checkpoints_ldm/ldm_step015000.keras,2,15000,100,0,100,96.5239,2.0192,0.1356,10,0.49,0.1319,0.4033,0.1896,364,100,0,100,160.8137,1.9464,0.1427,10,0.44,0.0137,0.1867,0.1096,73,128.6688,1.9828,0.465,0.0728,0.295,0.1496
step_20000,step,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/08_ldm_v3_sdvae_fromscratch/checkpoints_ldm/ldm_step020000.keras,3,20000,100,0,100,93.2795,1.8546,0.1635,10,0.48,0.1703,0.3967,0.2253,364,100,0,100,132.1052,1.8229,0.1861,10,0.45,0.0411,0.2133,0.2192,73,112.69235,1.83875,0.465,0.1057,0.305,0.22225
step_25000,step,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/08_ldm_v3_sdvae_fromscratch/checkpoints_ldm/ldm_step025000.keras,4,25000,100,0,100,122.2915,1.6449,0.1515,10,0.3,0.228,0.17,0.0824,364,100,0,100,137.241,1.7649,0.2997,10,0.24,0.0822,0.13,0.2055,73,129.76625,1.7049,0.27,0.1551,0.15,0.14395
step_30000,step,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/08_ldm_v3_sdvae_fromscratch/checkpoints_ldm/ldm_step030000.keras,5,30000,100,0,100,165.2076,1.9923,0.2299,10,0.16,0.2747,0.0733,0.0412,364,100,0,100,227.0522,1.8916,0.2361,10,0.24,0.0685,0.08,0.0548,73,196.1299,1.94195,0.2,0.1716,0.07665,0.048
step_35000,step,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/08_ldm_v3_sdvae_fromscratch/checkpoints_ldm/ldm_step035000.keras,6,35000,100,0,100,118.6228,1.7947,0.1883,10,0.36,0.2143,0.3067,0.1648,364,100,0,100,129.6401,1.7997,0.2418,10,0.32,0.0274,0.16,0.2192,73,124.13145,1.7972,0.34,0.12085,0.23335,0.192
step_40000,step,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/08_ldm_v3_sdvae_fromscratch/checkpoints_ldm/ldm_step040000.keras,7,40000,100,0,100,138.8997,2.0757,0.2061,10,0.26,0.0852,0.17,0.0934,364,100,0,100,154.5187,2.0391,0.2306,10,0.34,0.3151,0.19,0.3014,73,146.7092,2.0574,0.3,0.20015,0.18,0.1974
step_45000,step,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/08_ldm_v3_sdvae_fromscratch/checkpoints_ldm/ldm_step045000.keras,8,45000,100,0,100,97.7179,2.0372,0.1943,10,0.58,0.1456,0.46,0.217,364,100,0,100,134.1683,2.0024,0.1771,10,0.5,0.0548,0.2867,0.3151,73,115.9431,2.0198,0.54,0.1002,0.37335,0.26605
step_50000,step,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/08_ldm_v3_sdvae_fromscratch/checkpoints_ldm/ldm_step050000.keras,9,50000,100,0,100,99.1688,1.9613,0.2759,10,0.53,0.2005,0.4233,0.1868,364,100,0,100,128.0111,1.929,0.2761,10,0.37,0.0137,0.1933,0.2192,73,113.58995,1.94515,0.45,0.1071,0.3083,0.203
step_55000,step,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/08_ldm_v3_sdvae_fromscratch/checkpoints_ldm/ldm_step055000.keras,10,55000,100,0,100,102.6466,1.9716,0.3771,10,0.56,0.1374,0.4767,0.1813,364,100,0,100,140.3375,2.0343,0.225,10,0.48,0.3151,0.21,0.1781,73,121.49205,2.00295,0.52,0.22625,0.34335,0.1797
