path,experiment_id,architecture,dataset_variant,stage,regime,generator,training_policy,seeds,dataset_status,checkpoint_legacy_available,training_required,validation_available,test_allowed,compile_status,dry_run_status,generator_ownership,note_blocker
notebooks/3_classifiers_matrix/resnet50/R50_R.ipynb,resnet50__R,resnet50,R,1,not_applicable,,resnet50_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/resnet50/R50_RA.ipynb,resnet50__RA,resnet50,RA,1,not_applicable,,resnet50_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/resnet50/R50_RSB_CONTROLLED_01_sd21_baseline_50steps.ipynb,resnet50__RSB_CONTROLLED_01_sd21_baseline_50steps,resnet50,RSB_CONTROLLED_01_sd21_baseline_50steps,1,controlled,01_sd21_baseline_50steps,resnet50_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/resnet50/R50_RSB_FULL_01_sd21_baseline_50steps.ipynb,resnet50__RSB_FULL_01_sd21_baseline_50steps,resnet50,RSB_FULL_01_sd21_baseline_50steps,1,full_available,01_sd21_baseline_50steps,resnet50_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/resnet50/R50_RSP_CONTROLLED_01_sd21_baseline_50steps.ipynb,resnet50__RSP_CONTROLLED_01_sd21_baseline_50steps,resnet50,RSP_CONTROLLED_01_sd21_baseline_50steps,1,controlled,01_sd21_baseline_50steps,resnet50_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/resnet50/R50_RSB_CONTROLLED_02_sd21_filtered_100steps.ipynb,resnet50__RSB_CONTROLLED_02_sd21_filtered_100steps,resnet50,RSB_CONTROLLED_02_sd21_filtered_100steps,1,controlled,02_sd21_filtered_100steps,resnet50_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/resnet50/R50_RSB_FULL_02_sd21_filtered_100steps.ipynb,resnet50__RSB_FULL_02_sd21_filtered_100steps,resnet50,RSB_FULL_02_sd21_filtered_100steps,1,full_available,02_sd21_filtered_100steps,resnet50_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/resnet50/R50_RSP_CONTROLLED_02_sd21_filtered_100steps.ipynb,resnet50__RSP_CONTROLLED_02_sd21_filtered_100steps,resnet50,RSP_CONTROLLED_02_sd21_filtered_100steps,1,controlled,02_sd21_filtered_100steps,resnet50_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/resnet50/R50_RSB_CONTROLLED_03_sd21_vae_finetuned.ipynb,resnet50__RSB_CONTROLLED_03_sd21_vae_finetuned,resnet50,RSB_CONTROLLED_03_sd21_vae_finetuned,1,controlled,03_sd21_vae_finetuned,resnet50_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/resnet50/R50_RSB_FULL_03_sd21_vae_finetuned.ipynb,resnet50__RSB_FULL_03_sd21_vae_finetuned,resnet50,RSB_FULL_03_sd21_vae_finetuned,1,full_available,03_sd21_vae_finetuned,resnet50_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/resnet50/R50_RSP_CONTROLLED_03_sd21_vae_finetuned.ipynb,resnet50__RSP_CONTROLLED_03_sd21_vae_finetuned,resnet50,RSP_CONTROLLED_03_sd21_vae_finetuned,1,controlled,03_sd21_vae_finetuned,resnet50_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
