epoch,loss,auc,pr_auc,val_loss,val_auc,val_pr_auc,learning_rate,optimizer_steps
1,0.05959603029247756,0.8044676858760784,0.8405277855026307,0.05726682001328441,0.5966807165437302,0.2156845203698424,5e-05,250
2,0.03988117626348196,0.9084063507952536,0.9355104209751697,0.053329600494363485,0.6628782176727382,0.25731300017522807,5e-05,500
3,0.03563758349405209,0.9277569705370808,0.947613999473171,0.05083783253072601,0.7059310552461238,0.29283242820729444,5e-05,750
4,0.03316565088924948,0.939144773139928,0.955875589516889,0.050365314936133214,0.7157157910582568,0.3538562757374919,5e-05,1000
5,0.030685981649310367,0.9485341373467807,0.9615188014535944,0.049262126767048844,0.734683125094084,0.3856705932786259,5e-05,1250
6,0.0273164496936639,0.961271908213378,0.9702708402438373,0.05514659816122164,0.6891464699683878,0.3559463937096879,5e-05,1500
7,0.02462190046438245,0.9696728053281977,0.9757111101371928,0.05932268866037341,0.6976516634050881,0.36060935882142797,5e-05,1750
8,0.021982174843799697,0.9765167022626187,0.9807256446980199,0.06590627807296932,0.6682221887701341,0.31651000399728996,5e-05,2000
9,0.018209404212739328,0.9850561494590676,0.9872403498985639,0.07178180040770318,0.660958904109589,0.33195791605323377,5e-05,2250
10,0.015362801185634658,0.9898091957464424,0.9910891295533863,0.07846652610692062,0.6740930302574137,0.3399467637036343,2.5e-05,2500
11,0.014382960311191705,0.991309077695431,0.9926193253568405,0.07682499085772501,0.6826734908926689,0.3522851340155039,2.5e-05,2750
12,0.011594621842478961,0.9947741762055504,0.9953656883020988,0.09486392114814414,0.6623137136835766,0.3184984533863362,2.5e-05,3000
13,0.010451422359073967,0.9959919784399887,0.9963893194023998,0.10163549408828093,0.6465452355863315,0.317889225789995,2.5e-05,3250
14,0.009781180908449944,0.9962979522197994,0.9966109267533552,0.10319129749280091,0.6496688243263586,0.3259318020021589,1.25e-05,3500
15,0.009067078708154772,0.996912591935803,0.997151737172152,0.10588015777909238,0.6509860003010687,0.3173316932484288,1.25e-05,3750
