epoch,loss,auc,pr_auc,val_loss,val_auc,val_pr_auc,learning_rate,optimizer_steps
1,0.058277410100180865,0.7938665012016516,0.8074519205564235,0.08055252777902704,0.6828616588890561,0.3161635172871933,0.0001,250
2,0.03162981875423479,0.9480149383031645,0.9472440931398237,0.07740583928894397,0.6996086105675147,0.36840942267961735,0.0001,500
3,0.014663219938878296,0.9900662469491537,0.9894890356900201,0.10951458792536768,0.7357368658738521,0.4201741585580696,0.0001,750
4,0.00565808072520412,0.99805905901029,0.9982114442828699,0.1650076904025108,0.737204576245672,0.39581813995900184,0.0001,1000
5,0.0034915628421540936,0.9994505327860566,0.9993421543005798,0.22047567703639684,0.6511365346981786,0.28764049185518614,0.0001,1250
6,0.004736356221935221,0.9990764788130242,0.9989185802566788,0.1463351112116955,0.689861508354659,0.37873392603081857,0.0001,1500
7,0.001967878930640355,0.999798231459303,0.9997595758780603,0.24960056913744913,0.7297907571880174,0.40492393303980884,0.0001,1750
8,0.0008731094563849181,0.9999712353978462,0.9999641894194928,0.18977521730438238,0.7336670179135932,0.4220018926849911,5e-05,2000
9,4.3111309107605934e-05,1.0,1.0,0.23445582289128628,0.7242962516935119,0.41874021136502726,5e-05,2250
10,2.2472016428464886e-05,1.0,1.0,0.23308229879394712,0.727758542827036,0.42697194837796837,5e-05,2500
11,2.0720488080716012e-05,1.0,1.0,0.22883439812807663,0.7375056450398916,0.4549836660496599,5e-05,2750
12,1.0404062018966669e-05,1.0,1.0,0.24496077522963294,0.7327261779316574,0.44245923817901295,5e-05,3000
13,7.786101558596331e-05,0.9999997468157011,0.9999996873761228,0.29497824261949224,0.6961086858347132,0.3792287191442205,5e-05,3250
14,0.00043649966334721366,0.9999865464477545,0.9999829210894473,0.2970261900198559,0.6983290681920818,0.3681058217322189,5e-05,3500
15,0.001266322717625609,0.9999326239769484,0.9999163379625672,0.30211179150262135,0.7145115158813788,0.3888195344942084,5e-05,3750
16,0.000173229103849745,0.9999979743091761,0.9999974912949837,0.2666147101622519,0.7301670931807918,0.4207217034733917,2.5e-05,4000
17,1.5532778072385983e-05,1.0,1.0,0.2763729508471476,0.7312961011591149,0.4245781077609635,2.5e-05,4250
18,1.2276389953332348e-05,1.0,1.0,0.2869436918028537,0.732349841938883,0.42165005601335065,2.5e-05,4500
19,5.803392115831531e-06,1.0,0.9999999999999999,0.2948989003796615,0.7297531235887401,0.4253479030325376,2.5e-05,4750
20,9.579188511521118e-06,1.0,0.9999999999999999,0.3113774767987611,0.7294896883937979,0.4292178375457936,1.25e-05,5000
21,3.546840691710328e-06,1.0,1.0000000000000002,0.29723655396594884,0.7347960258919163,0.4332073653131107,1.25e-05,5250
