epoch,loss,auc,pr_auc,val_loss,val_auc,val_pr_auc,learning_rate,optimizer_steps
1,0.05515452508315269,0.6024132730015084,0.2335282606322716,0.054480029078247345,0.6987806713834112,0.30410278726657675,0.0001,250
2,0.04065700150599889,0.8401699608302192,0.5686264556410574,0.05372573032088629,0.7395378594008731,0.4111110974392675,0.0001,500
3,0.015618332576286479,0.979685682331646,0.9312603952591948,0.12745719195239127,0.6655125696221587,0.32888526888136804,0.0001,750
4,0.004321969037462861,0.9983063599552687,0.993650861269551,0.17274646513543393,0.7296778563901851,0.46764060102347094,0.0001,1000
5,0.003596944658830684,0.9987891638648315,0.9915478000991329,0.16240957222913033,0.7350594610868584,0.46431646137441274,0.0001,1250
6,0.003665501000424715,0.9990574433766499,0.9962560254002647,0.153489694018471,0.7322745747403282,0.3889514775435298,0.0001,1500
7,0.0013843426622195368,0.9998589657789895,0.9993160924907326,0.20159818422160106,0.7107857895529128,0.4043797354100845,0.0001,1750
8,0.0021553664261228346,0.9996883718705178,0.9985603010788908,0.31044200267728983,0.7058557880475689,0.3882283325288267,0.0001,2000
9,0.0001777872917427416,0.9999973082848301,0.9999866670748433,0.26888153481564125,0.724559686888454,0.4203318001257805,5e-05,2250
10,1.5548355274926968e-05,1.0,1.0,0.26103932871098323,0.7215113653469818,0.41478195491845105,5e-05,2500
11,1.3099708497337153e-05,1.0,1.0,0.312025208022924,0.7222640373325304,0.4194223044502974,5e-05,2750
12,4.903953088573743e-06,1.0,0.9999999999999999,0.2963992694259236,0.7258015956646093,0.4293124680698028,5e-05,3000
13,5.0493694327866475e-06,1.0,0.9999999999999999,0.28775944127225705,0.7251241908776155,0.4217741891602756,2.5e-05,3250
14,2.582165602244476e-06,1.0,1.0000000000000002,0.29791820727339374,0.7284359476140297,0.4305450679716501,2.5e-05,3500
