epoch,loss,auc,pr_auc,val_loss,val_auc,val_pr_auc,learning_rate,optimizer_steps
1,0.04337200867832938,0.8769432393687753,0.9163112277770089,0.05745686395456098,0.6442119524311305,0.24815384236443536,0.0001,250
2,0.03273494197190942,0.9296240220282334,0.9505501949872698,0.055846415673227005,0.6469592051783832,0.2569564437947147,0.0001,500
3,0.027969527017780972,0.9543474706664714,0.9662424123847001,0.056727444279930414,0.6900873099503235,0.3290965676333542,0.0001,750
4,0.021859316085766564,0.9752020072827952,0.9809394826260475,0.08858352820697993,0.6785714285714285,0.3333192846171982,0.0001,1000
5,0.013944669655173164,0.9908825065640786,0.9922788012042373,0.1459074970294809,0.7195167845852778,0.4002398243177417,0.0001,1250
6,0.0067095925052838516,0.9979739080480234,0.9980747751367949,0.10409304066625098,0.7348712930904711,0.43680634619102143,0.0001,1500
7,0.00521684927439738,0.9986498000966918,0.9988045263777781,0.1185471163764255,0.7637738973355411,0.4727165880115472,0.0001,1750
8,0.002598712626657869,0.999622067069929,0.9996835915940477,0.12698657091870025,0.7546289327111245,0.4709081723304715,0.0001,2000
9,0.002024615944832503,0.999814693756985,0.9998168142823403,0.13737859141408706,0.7588815294294747,0.5100230173573248,0.0001,2250
10,0.0014183140623277564,0.9999035844275687,0.9999037203149035,0.16448419525086783,0.7348336594911937,0.4328355219766098,0.0001,2500
11,0.0023387622243336748,0.9997444731985234,0.9997752943292119,0.20786791226557347,0.756059009483667,0.4613323119246934,0.0001,2750
12,0.0022256816391354145,0.9997838414188429,0.9997892618041486,0.189539899558515,0.7322745747403283,0.3764069812965422,0.0001,3000
13,0.002813455282635895,0.9994576130762641,0.9996067506441378,0.14436752726509047,0.7177103718199607,0.391970663149502,0.0001,3250
14,0.0003250629281994031,0.9999959878723411,0.9999959488868231,0.1949989006800182,0.7299789251844047,0.43395539847131137,5e-05,3500
15,3.193917401069238e-05,1.0,1.0,0.2081542509238079,0.7349089266897486,0.4527361189222108,5e-05,3750
16,8.478942556605693e-05,0.9999994984814017,0.9999995040995778,0.2593593260413354,0.7282854132169201,0.41447038487792,5e-05,4000
17,4.831041322331007e-05,1.0,1.0,0.2366066328162835,0.7212479301520398,0.43345704229781407,5e-05,4250
18,1.275245065017089e-05,1.0,1.0,0.2567443670086161,0.7234683125094084,0.44317135129577967,2.5e-05,4500
19,5.433755083638046e-06,1.0,1.0,0.24406884627732484,0.7265919012494355,0.44057005195995097,2.5e-05,4750
