run_id,experiment_id,phase,architecture,energy_kwh,co2_kg,elapsed_seconds,value_precision
legacy-8406d945ed4d6542764f,01_sd21_baseline_50steps,generator_training,,0.0007445079798429653,0.0002462221900777058,25.53880143800052,measured
legacy-2f519af919f75d1ef787,01_sd21_baseline_50steps,generator_training,,0.0007381361958841824,0.00024411492643042502,25.508228218001022,measured
legacy-308db232c29964a3efd5,01_sd21_baseline_50steps,generator_training,,0.0007319575019440759,0.0002420715211279409,24.542245530999935,measured
legacy-4bb59660ccc8ceeff4a5,01_sd21_baseline_50steps,generator_training,,0.2289824282420748,0.0757286107033625,4239.537873316,measured
legacy-69c334a6f871e9b73e3e,01_sd21_baseline_50steps,generator_training,,0.0007521669232884401,0.0002487551405361064,25.348097081000105,measured
legacy-766c7b54c95e7b0ee588,01_sd21_baseline_50steps,generator_training,,0.0007227751460275294,0.0002390347507439325,24.64010874199994,measured
legacy-a3cfb8ec653cdaab37b9,01_sd21_baseline_50steps,generator_training,,0.0007038719450977849,0.00023278312193884923,24.7919015260004,measured
legacy-435664b8022cb4ff8366,01_sd21_baseline_50steps,generator_training,,0.00398275369536557,0.0013171683366239107,68.38420503900852,measured
legacy-2bef8cd00c3b95a24412,01_sd21_baseline_50steps,generator_training,,0.000893853175728151,0.00029561333457046266,33.38116156900014,measured
legacy-e91246ad5d1b49c79948,01_sd21_baseline_50steps,generator_training,,0.000749159153464573,0.0002477604169154967,25.616290501000094,measured
legacy-07315bfe215e961aed72,01_sd21_baseline_50steps,generator_training,,0.0007037975125653997,0.00023275850576060384,28.461434683000334,measured
legacy-2da5212160d6cd73bcd2,01_sd21_baseline_50steps,generator_training,,0.0009675602107050244,0.00025894039870930004,40.53310641600001,measured
legacy-4fbb59f9977d03f4c610,01_sd21_baseline_50steps,generator_training,,0.0006887647780779155,0.00018432860743876792,23.79955709299975,measured
legacy-ca044e1be43c7a647393,01_sd21_baseline_50steps,generator_training,,0.0010781690784798835,0.000256161113186957,42.76157187199988,measured
legacy-bc93bcd0c69b9bc14adc,01_sd21_baseline_50steps,generator_training,,0.0010433351176043465,0.00024788494725649907,40.901629160000084,measured
legacy-124989002f291df2ad81,01_sd21_baseline_50steps,generator_training,,0.0012677382053376002,0.0004192638437928405,47.63269194699933,measured
legacy-bc0c4734776d610f01d9,01_sd21_baseline_50steps,generator_training,,0.0009522056860594216,0.0003149115600821998,33.2763659329994,measured
